Chromosome,Source,Start,End,Strand,gene_id,gene_name,gene_type,hgnc_id
chr1,HAVANA,65418,71585,+,ENSG00000186092.7,OR4F5,protein_coding,HGNC:14825
chr1,HAVANA,923922,944575,+,ENSG00000187634.13,SAMD11,protein_coding,HGNC:28706
chr1,HAVANA,960583,965719,+,ENSG00000187961.15,KLHL17,protein_coding,HGNC:24023
chr1,HAVANA,966481,975865,+,ENSG00000187583.11,PLEKHN1,protein_coding,HGNC:25284
chr1,HAVANA,1001137,1014540,+,ENSG00000187608.10,ISG15,protein_coding,HGNC:4053
chr1,HAVANA,1020119,1056118,+,ENSG00000188157.15,AGRN,protein_coding,HGNC:329
chr1,HAVANA,1173879,1197936,+,ENSG00000162571.14,TTLL10,protein_coding,HGNC:26693
chr1,HAVANA,1232236,1235041,+,ENSG00000176022.7,B3GALT6,protein_coding,HGNC:17978
chr1,HAVANA,1280435,1292029,+,ENSG00000162572.21,SCNN1D,protein_coding,HGNC:10601
chr1,HAVANA,1308596,1311677,+,ENSG00000169972.13,PUSL1,protein_coding,HGNC:26914
chr1,HAVANA,1324755,1328896,+,ENSG00000224051.7,CPTP,protein_coding,HGNC:28116
chr1,HAVANA,1331279,1335314,+,ENSG00000169962.5,TAS1R3,protein_coding,HGNC:15661
chr1,HAVANA,1425870,1430255,+,ENSG00000205116.4,TMEM88B,protein_coding,HGNC:37099
chr1,HAVANA,1434860,1442882,+,ENSG00000179403.12,VWA1,protein_coding,HGNC:30910
chr1,HAVANA,1449688,1470163,+,ENSG00000215915.10,ATAD3C,protein_coding,HGNC:32151
chr1,HAVANA,1471764,1497848,+,ENSG00000160072.20,ATAD3B,protein_coding,HGNC:24007
chr1,HAVANA,1512161,1534685,+,ENSG00000197785.14,ATAD3A,protein_coding,HGNC:25567
chr1,HAVANA,1615453,1630605,+,ENSG00000197530.13,MIB2,protein_coding,HGNC:30577
chr1,HAVANA,1632162,1635263,+,ENSG00000189409.14,MMP23B,protein_coding,HGNC:7171
chr1,HAVANA,1915107,1917296,+,ENSG00000169885.10,CALML6,protein_coding,HGNC:24193
chr1,HAVANA,2019328,2030758,+,ENSG00000187730.9,GABRD,protein_coding,HGNC:4084
chr1,HAVANA,2050410,2185395,+,ENSG00000067606.17,PRKCZ,protein_coding,HGNC:9412
chr1,HAVANA,2227387,2310213,+,ENSG00000157933.11,SKI,protein_coding,HGNC:10896
chr1,HAVANA,2391774,2405442,+,ENSG00000157916.20,RER1,protein_coding,HGNC:30309
chr1,HAVANA,2425979,2505532,+,ENSG00000149527.18,PLCH2,protein_coding,HGNC:29037
